@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,16-weka.filters.unsupervised.attribute.Remove-R13'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,0,1,1,False,False,True,True,0,0,4,12,1,9,-10,-3,-8,-3,1,3,6,7,West
1,1,1,1,False,False,True,True,0,0,5,14,1,10,-9,-3,-7,-3,2,3,6,7,West
1,1,1,1,False,False,True,True,0,0,7,13,1,10,-8,-4,-6,-4,4,3,7,6,West
1,1,0,1,False,False,True,True,0,0,5,7,1,-1,-13,-10,-11,-10,-1,-4,4,-3,West
1,1,0,0,False,False,True,True,0,0,7,3,1,-1,-15,-10,-13,-10,1,-6,-1,-2,West
1,1,0,0,False,False,True,True,0,0,9,2,1,-1,-14,-10,-12,-10,2,-7,-1,-2,West
1,1,0,1,False,False,True,False,0,0,10,0,1,-1,-13,-10,-11,-10,3,-7,0,-1,West
1,1,0,0,False,False,True,False,0,0,12,0,1,-1,-12,-10,-10,-10,4,-8,-6,-10,West
1,1,0,0,False,False,True,False,0,0,10,0,1,-1,-12,-10,-10,-10,5,-5,-6,-10,West
1,1,0,0,False,False,True,False,0,0,11,0,1,-1,-11,-10,-9,-10,6,-5,-5,-10,West
1,1,0,0,False,False,True,False,0,0,13,0,1,-1,-11,-10,-9,-10,6,-7,-5,-10,West
1,1,0,0,False,False,True,False,0,0,11,0,1,-1,-11,-10,-9,-10,4,-7,-5,-10,West
1,1,0,1,False,False,True,False,0,0,11,0,1,-1,-10,-10,-8,-10,4,-7,-4,-10,West
1,1,0,1,False,False,True,False,0,0,11,0,0,-1,-9,-10,-7,-10,5,-6,-3,-10,West
1,1,0,0,False,False,True,False,0,0,11,0,1,-1,-8,-10,-6,-10,5,-6,-2,-10,West
1,1,0,1,False,False,True,False,0,0,10,0,1,-1,-9,-10,-7,-10,3,-7,-3,-10,West
1,1,0,0,False,False,True,False,0,0,12,0,1,-1,-8,-10,-6,-10,4,-8,-2,-10,West
1,1,0,0,False,False,True,False,0,0,12,0,1,-1,-8,-10,-6,-10,5,-7,-2,-10,West
1,1,0,0,False,False,True,False,0,0,13,0,0,-1,-7,-10,-5,-10,6,-7,-1,-10,West
1,1,0,0,False,False,True,False,0,0,15,0,1,-1,-6,-10,-4,-10,8,-7,0,-10,West
1,1,1,1,False,False,True,False,0,0,13,0,1,-1,-5,-8,-3,-8,9,-4,1,-8,West
1,1,1,1,False,False,True,False,0,0,15,0,1,-1,-4,-8,-2,-8,10,-5,2,-8,West
1,1,0,1,False,False,True,False,0,0,17,0,1,-1,-3,-8,-1,-8,11,-6,3,-8,West
1,1,1,1,False,False,True,False,0,0,13,0,1,-1,-9,-8,-7,-8,8,-5,-3,-8,West
1,1,0,1,False,False,True,False,0,0,13,0,1,-1,-8,-8,-6,-8,8,-5,-2,-8,West
1,1,0,1,False,False,True,False,0,0,13,0,1,-1,-7,-8,-5,-8,9,-4,-1,-8,West
1,1,1,1,False,False,True,False,0,0,13,0,1,-1,-9,-8,-7,-8,7,-6,-3,-8,West
1,0,1,1,False,False,True,False,0,0,10,0,0,-1,-9,-7,-7,-7,6,-4,-3,-7,West
1,0,1,1,False,False,True,False,0,0,12,0,1,-1,-9,-7,-7,-7,7,-5,-3,-7,West
1,0,1,1,False,False,True,False,0,0,11,0,1,-1,-9,-7,-7,-7,6,-5,-3,-7,West
1,1,0,1,False,False,True,False,0,0,15,0,1,-1,-9,-10,-7,-10,8,-7,-3,-10,West
1,0,1,1,False,False,True,False,0,0,14,0,1,-1,-10,-9,-8,-9,7,-7,-4,-9,West
1,1,0,1,False,False,True,False,0,0,16,0,0,-1,-9,-10,-7,-10,8,-8,-3,-10,West
1,1,0,0,False,False,True,False,0,0,17,0,1,-1,-8,-10,-6,-10,9,-8,-2,-10,West
1,1,0,0,False,False,True,False,0,0,16,0,1,-1,-7,-10,-5,-10,9,-7,-1,-10,West
1,1,0,0,False,False,True,False,0,0,14,0,0,-1,-8,-10,-6,-10,9,-5,-2,-10,West
1,1,0,0,False,False,True,False,0,0,15,0,1,-1,-7,-10,-5,-10,10,-5,-1,-10,West
1,1,0,0,False,False,True,False,0,0,17,0,1,-1,-7,-10,-5,-10,10,-7,-1,-10,West
1,1,0,0,False,False,True,False,0,0,17,0,0,-1,-6,-10,-4,-10,11,-6,0,-10,West
1,1,0,0,False,False,True,False,0,0,16,0,1,-1,-7,-10,-5,-10,10,-6,-1,-10,West
1,1,0,0,False,False,True,False,0,0,16,0,0,-1,-6,-10,-4,-10,11,-5,0,-10,West
1,1,0,1,False,False,True,False,0,0,19,0,1,-1,-5,-10,-3,-10,12,-7,1,-10,West
1,1,0,1,False,False,True,False,0,0,19,0,0,-1,-5,-10,-3,-10,12,-7,1,-10,West
1,0,1,1,False,False,True,False,0,0,18,0,1,-1,-5,-9,-3,-9,11,-7,1,-9,West
1,0,1,1,False,False,True,False,0,0,9,0,1,-1,-9,-6,-7,-6,5,-4,-3,-6,West
1,0,1,1,False,False,True,False,0,0,8,0,1,-1,-9,-7,-7,-7,4,-4,-3,-7,West
1,1,0,1,False,False,True,False,0,0,8,0,1,-1,-8,-8,-6,-8,4,-4,-2,-8,West
1,1,0,1,False,False,True,False,0,0,10,0,1,-1,-7,-8,-5,-8,5,-5,-1,-8,West
1,1,0,1,False,False,True,False,0,0,11,0,1,-1,-7,-8,-5,-8,6,-5,-1,-8,West
1,1,1,1,False,False,True,False,0,0,9,0,1,-1,-8,-7,-6,-7,4,-5,-2,-7,West
1,1,1,1,False,False,True,False,0,0,11,0,1,-1,-7,-7,-5,-7,6,-5,-1,-7,West
1,1,1,1,False,False,True,False,0,0,8,0,0,-1,-9,-4,-7,-4,6,-2,-3,-4,West
1,1,0,1,False,False,True,False,0,0,6,0,1,-1,-10,-4,-8,-4,4,-2,-4,-4,West
1,0,1,1,False,False,True,False,0,0,8,0,1,-1,-9,-7,-7,-7,5,-3,-3,-7,West
1,1,1,1,False,False,True,False,0,0,8,0,0,-1,-8,-7,-6,-7,5,-3,-2,-7,West
1,0,1,1,False,False,True,False,0,0,8,0,1,-1,-9,-7,-7,-7,4,-4,-3,-7,West
1,0,1,1,False,False,True,False,0,0,8,0,1,-1,-9,-7,-7,-7,5,-3,-3,-7,West
1,1,1,1,False,False,True,False,0,0,8,0,1,-1,-8,-7,-6,-7,5,-3,-2,-7,West
1,1,1,1,False,False,True,False,0,0,8,0,1,-1,-9,-8,-7,-8,4,-4,-3,-8,West
1,1,0,1,False,False,True,False,0,0,10,0,1,-1,-8,-8,-6,-8,4,-6,-2,-8,West
1,1,1,1,False,False,True,False,0,0,9,0,1,-1,-8,-6,-6,-6,5,-4,-2,-6,West
1,1,0,0,True,True,True,True,8,4,4,15,1,11,2,-6,2,-2,4,0,10,-5,West
1,1,0,0,True,True,True,True,8,4,4,15,1,11,2,-6,2,-2,4,0,10,-5,West
1,1,0,1,True,True,True,True,7,3,3,14,1,10,1,-6,1,-2,3,0,9,-5,West
1,1,0,0,True,True,False,True,8,4,0,11,0,7,-2,-6,-2,-2,-3,-10,6,-5,West
1,1,0,0,True,True,False,True,7,3,0,12,1,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,1,0,1,True,True,False,True,6,2,0,13,1,9,0,-6,0,-2,-1,-10,8,-5,West
1,1,0,0,True,True,False,True,7,3,0,12,0,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,1,0,1,True,True,False,True,10,6,0,9,1,5,-4,-6,-4,-2,-5,-10,4,-5,West
1,0,1,1,True,True,False,True,10,6,0,7,1,3,-5,-5,-5,-1,-6,-9,3,-4,West
1,1,0,1,True,True,False,True,10,6,0,9,1,5,-4,-6,-4,-2,-5,-10,4,-5,West
1,1,0,0,True,True,False,True,9,5,0,10,1,6,-3,-6,-3,-2,-4,-10,5,-5,West
1,1,0,0,True,True,False,True,8,4,0,11,1,7,-2,-6,-2,-2,-3,-10,6,-5,West
1,1,0,0,True,True,False,True,7,3,0,12,1,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,1,0,0,True,True,False,True,7,3,0,12,0,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,0,1,1,True,True,False,True,5,1,0,12,1,8,0,-5,0,-1,-1,-9,8,-4,West
1,0,1,1,True,True,False,True,5,1,0,12,1,8,0,-5,0,-1,-1,-9,8,-4,West
1,1,0,1,True,True,False,True,6,2,0,13,1,9,0,-6,0,-2,-1,-10,8,-5,West
1,1,0,1,True,True,False,True,6,2,0,13,1,9,0,-6,0,-2,-1,-10,8,-5,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,1,-3,-2,-7,0,-7,9,-2,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,1,True,False,False,True,6,0,0,13,1,9,3,-3,0,-7,2,-7,11,-2,West
1,1,1,1,True,False,False,True,7,0,0,14,0,10,4,-3,1,-7,3,-7,12,-2,West
1,1,1,1,True,False,False,True,7,0,0,14,1,10,4,-3,1,-7,3,-7,12,-2,West
1,1,1,0,True,False,False,True,6,0,0,13,1,9,4,-2,1,-6,3,-6,12,-1,West
1,1,0,1,True,False,False,True,7,0,0,14,1,10,3,-4,0,-8,2,-8,11,-3,West
1,1,0,1,True,False,False,True,8,0,0,15,1,11,4,-4,1,-8,3,-8,12,-3,West
1,1,0,1,True,False,False,True,8,0,0,15,0,11,4,-4,1,-8,3,-8,12,-3,West
1,1,1,1,True,False,False,True,7,0,0,14,1,10,4,-3,1,-7,3,-7,12,-2,West
1,1,0,1,True,False,False,True,6,0,0,13,1,9,2,-4,-1,-8,1,-8,10,-3,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,0,True,False,False,True,5,0,0,12,0,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,0,True,False,False,True,6,0,0,13,1,9,4,-2,1,-6,3,-6,12,-1,West
1,1,1,1,True,False,False,True,6,0,0,13,0,9,3,-3,0,-7,2,-7,11,-2,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,0,-4,-3,-8,-1,-8,8,-3,West
1,0,1,1,True,False,False,True,5,0,0,12,1,8,0,-5,-3,-9,-1,-9,8,-4,West
1,1,1,0,True,False,False,True,3,0,0,8,1,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,0,1,True,False,False,True,6,0,0,9,1,5,-2,-4,-5,-8,-3,-8,6,-3,West
1,1,1,0,True,False,False,True,3,0,0,8,0,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,0,-4,-3,-8,-1,-8,8,-3,West
1,1,1,1,True,False,False,True,3,0,0,10,1,6,0,-3,-3,-7,-1,-7,8,-2,West
1,1,1,1,True,False,False,True,4,0,0,7,0,3,-2,-2,-5,-6,-3,-6,6,-1,West
1,1,1,1,True,False,False,True,4,0,0,7,1,3,-2,-2,-5,-6,-3,-6,6,-1,West
1,1,1,1,True,False,False,True,6,0,0,7,1,3,-3,-3,-6,-7,-4,-7,5,-2,West
1,1,1,1,True,False,False,True,5,0,0,8,0,4,-2,-3,-5,-7,-3,-7,6,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,0,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,1,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,0,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,3,0,0,10,1,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,1,True,False,False,True,5,0,0,8,0,4,-2,-3,-5,-7,-3,-7,6,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,0,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,1,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,0,True,False,False,True,3,0,0,8,1,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,3,0,0,10,0,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,0,True,False,False,True,3,0,0,10,1,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,0,True,False,False,True,4,0,0,11,1,7,2,-2,-1,-6,1,-6,10,-1,West
1,1,1,0,True,False,False,True,5,0,0,12,1,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,0,True,False,False,True,5,0,0,12,1,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,0,True,False,False,True,4,0,0,11,1,7,2,-2,-1,-6,1,-6,10,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,1,True,False,False,True,3,0,0,10,1,6,0,-3,-3,-7,-1,-7,8,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,1,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,3,0,0,10,1,6,0,-3,-3,-7,-1,-7,8,-2,West
1,1,1,1,True,False,False,True,3,0,0,10,1,6,0,-3,-3,-7,-1,-7,8,-2,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,1,-3,-2,-7,0,-7,9,-2,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,1,-3,-2,-7,0,-7,9,-2,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,0,1,True,False,False,True,6,0,0,13,1,9,2,-4,-1,-8,1,-8,10,-3,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,0,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,1,True,False,False,True,4,0,0,9,1,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,4,0,0,9,0,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,0,True,False,False,True,3,0,0,8,1,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,0,1,True,False,False,True,5,0,0,10,1,6,-1,-4,-4,-8,-2,-8,7,-3,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,0,-4,-3,-8,-1,-8,8,-3,West
1,1,1,1,True,False,False,True,5,0,0,12,1,8,1,-4,-2,-8,0,-8,9,-3,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,3,0,0,10,1,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,0,True,False,False,True,4,0,0,11,1,7,2,-2,-1,-6,1,-6,10,-1,West
1,1,1,1,True,False,False,True,6,0,0,13,1,9,3,-3,0,-7,2,-7,11,-2,West
1,1,1,0,True,False,False,True,5,0,0,12,1,8,3,-2,0,-6,2,-6,11,-1,West
1,0,1,1,True,False,False,True,5,0,0,12,1,8,0,-5,-3,-9,-1,-9,8,-4,West
1,1,1,0,True,False,False,True,3,0,0,8,1,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,3,0,0,10,1,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,1,True,False,False,True,4,0,0,11,1,7,1,-3,-2,-7,0,-7,9,-2,West
1,1,1,1,True,False,False,True,5,0,0,12,0,8,2,-3,-1,-7,1,-7,10,-2,West
1,1,1,0,True,False,False,True,2,0,0,9,1,5,0,-2,-3,-6,-1,-6,8,-1,West
1,1,1,0,True,False,False,True,3,0,0,10,1,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,0,True,False,False,True,4,0,0,11,1,7,2,-2,-1,-6,1,-6,10,-1,West
1,1,1,0,True,False,False,True,5,0,0,12,1,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,0,True,False,False,True,6,0,0,13,1,9,4,-2,1,-6,3,-6,12,-1,West
1,1,1,0,True,False,False,True,5,0,0,12,1,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,1,True,False,False,True,4,0,0,9,0,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,True,False,False,True,2,0,0,7,0,3,-2,0,-5,-4,-3,-4,6,1,West
1,1,0,1,True,False,False,True,1,0,0,8,0,4,-1,0,-4,-4,-2,-4,7,1,West
1,1,0,1,False,False,False,True,0,0,0,9,1,5,-5,-4,-3,-4,-1,-4,8,1,West
1,1,1,0,False,False,False,True,0,0,0,8,0,4,-8,-2,-6,-2,-4,-2,5,3,West
1,1,1,0,False,False,False,True,0,0,0,9,1,5,-7,-2,-5,-2,-3,-2,6,3,West
1,1,0,1,False,False,False,True,0,0,0,4,1,2,-10,-4,-8,-4,-6,-4,3,1,West
1,1,0,1,False,False,False,True,0,0,0,4,1,2,-10,-4,-8,-4,-6,-4,3,1,West
1,0,1,1,False,False,False,True,0,0,0,4,1,8,-9,-5,-7,-5,-5,-5,4,0,West
1,0,1,1,False,False,False,True,0,0,0,6,1,6,-9,-7,-7,-7,-5,-7,4,-2,West
1,1,1,1,False,False,False,True,0,0,0,7,0,7,-8,-7,-6,-7,-4,-7,5,-2,West
1,0,1,1,False,False,False,True,0,0,0,5,1,7,-9,-6,-7,-6,-5,-6,4,-1,West
1,0,1,1,False,False,False,True,0,0,0,4,1,8,-9,-5,-7,-5,-5,-5,4,0,West
1,0,1,1,False,False,False,True,0,0,0,4,1,8,-9,-5,-7,-5,-5,-5,4,0,West
1,0,1,1,False,False,False,True,0,0,0,4,1,8,-9,-5,-7,-5,-5,-5,4,0,West
1,1,1,1,False,False,False,True,0,0,0,5,1,9,-8,-5,-6,-5,-4,-5,5,0,West
1,1,1,1,False,False,False,True,0,0,0,7,1,9,-7,-6,-5,-6,-3,-6,6,-1,West
1,0,1,1,False,False,False,True,0,0,0,5,1,7,-9,-6,-7,-6,-5,-6,4,-1,West
1,1,1,1,False,False,False,True,0,0,0,6,1,8,-8,-6,-6,-6,-4,-6,5,-1,West
1,1,1,1,False,False,False,True,0,0,0,7,1,9,-7,-6,-5,-6,-3,-6,6,-1,West
1,1,1,1,False,False,False,True,0,0,0,7,1,5,-9,-8,-7,-8,-5,-8,4,-3,West
1,1,0,1,False,False,False,True,0,0,0,8,1,6,-8,-8,-6,-8,-4,-8,5,-3,West
1,1,0,1,False,False,False,True,0,0,0,9,1,7,-7,-8,-5,-8,-3,-8,6,-3,West
1,1,1,1,False,False,False,True,0,0,0,8,1,8,-7,-7,-5,-7,-3,-7,6,-2,West
1,1,1,1,False,False,False,True,0,0,0,9,1,9,-6,-7,-4,-7,-2,-7,7,-2,West
1,1,1,0,False,False,False,True,0,0,0,9,1,11,-5,-6,-3,-6,-1,-6,8,-1,West
1,0,1,1,False,False,False,True,0,0,0,12,1,8,-5,-9,-3,-9,-1,-9,8,-4,West
1,1,1,1,False,False,False,True,0,0,0,11,0,9,-5,-8,-3,-8,-1,-8,8,-3,West
1,1,1,1,False,False,False,True,0,0,0,6,1,8,-8,-6,-6,-6,-4,-6,5,-1,West
1,0,1,1,False,False,False,True,0,0,0,4,1,8,-9,-5,-7,-5,-5,-5,4,0,West
1,1,1,1,False,False,False,True,0,0,0,5,1,9,-8,-5,-6,-5,-4,-5,5,0,West
