@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,28'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute scoreNext numeric

@data
1,8,0,1,1,1,True,True,True,True,4,3,7,8,8,11,13,7,8,6,10,12,0,1,11,-11,Stop,3,-5,6,0,7,3,12,-1,-12
1,8,0,1,1,1,True,True,True,True,4,4,7,9,8,11,12,7,7,7,10,11,0,1,11,-12,North,3,-4,6,1,7,3,11,-1,-13
1,9,0,1,1,1,True,True,True,True,3,4,7,9,8,11,12,8,7,6,9,13,0,1,12,-13,East,2,-5,6,0,7,2,11,-1,-14
2,9,1,1,0,1,True,True,True,True,3,3,6,9,9,11,12,7,7,4,9,13,0,1,11,-14,East,1,-6,4,0,7,2,10,-2,-15
3,9,1,1,0,1,True,True,True,True,3,3,5,9,10,11,13,7,6,2,9,12,0,0,10,-15,Stop,0,-6,2,0,7,2,10,-2,-16
3,9,1,1,0,1,True,True,True,True,3,3,5,8,10,11,13,7,6,3,9,11,0,1,10,-16,West,0,-6,2,-1,7,2,10,-2,-17
2,9,1,1,0,1,True,True,True,True,2,3,5,9,10,11,13,8,6,3,10,13,0,1,11,-17,West,0,-6,3,0,8,2,11,-1,-18
1,9,0,1,1,1,True,True,True,True,2,3,6,9,10,10,14,8,7,5,10,14,0,1,12,-18,East,1,-6,5,0,9,1,13,-1,-19
2,9,1,1,0,1,True,True,True,True,1,3,6,10,10,11,14,8,7,5,10,12,0,1,11,-19,South,-1,-6,4,1,8,2,12,-1,-20
2,8,1,1,1,1,True,True,True,True,2,3,6,11,10,10,13,8,5,7,10,12,0,1,10,-20,South,0,-5,4,3,8,2,11,0,-21
2,7,1,1,1,0,True,True,True,True,1,3,5,11,10,11,13,9,5,7,12,12,0,1,9,-21,West,-1,-4,3,4,8,4,11,2,-22
1,7,0,1,1,1,True,True,True,True,1,4,5,11,10,10,12,9,3,8,12,12,0,1,10,-22,Stop,0,-3,4,4,9,3,11,2,-23
1,7,0,1,1,1,True,True,True,True,2,4,4,11,11,10,12,8,4,7,13,13,0,0,10,-23,North,1,-3,3,4,10,3,11,1,-24
1,8,0,1,1,1,True,True,True,True,3,4,5,11,11,9,12,9,6,7,11,12,0,1,11,-24,Stop,2,-4,4,3,10,1,11,1,-25
1,8,0,1,1,1,True,True,True,True,3,5,5,11,11,9,12,9,5,7,11,12,0,1,11,-25,South,2,-3,4,3,10,1,11,1,-26
1,7,0,1,1,1,True,True,True,True,3,5,5,11,12,9,12,9,4,8,13,13,0,1,10,-26,East,2,-2,4,4,11,2,11,2,-27
2,7,1,1,1,0,True,True,True,True,4,5,5,10,12,9,12,9,4,6,12,13,0,1,9,-27,West,2,-2,3,3,10,2,10,2,-28
1,7,0,1,1,1,True,True,True,True,4,5,5,10,12,9,13,9,5,7,13,13,0,1,10,-28,South,3,-2,4,3,11,2,12,2,-29
1,6,0,0,1,1,True,True,True,True,5,5,6,10,13,9,12,9,5,9,15,14,0,1,9,-29,Stop,4,-1,5,4,12,3,11,3,-30
1,6,0,0,1,1,True,True,True,True,5,5,6,11,12,9,12,9,5,10,14,15,0,1,9,-30,Stop,4,-1,5,5,11,3,11,3,-31
1,6,0,0,1,1,True,True,True,True,5,4,7,11,12,8,13,9,6,11,13,14,0,0,9,-31,North,4,-2,6,5,11,2,12,3,-32
1,7,0,1,1,1,True,True,True,True,5,3,7,11,13,8,12,9,8,10,13,12,0,1,10,-32,Stop,4,-4,6,4,12,1,11,2,-33
1,7,0,1,1,1,True,True,True,True,5,4,6,11,14,8,11,9,7,9,14,13,0,1,10,-33,South,4,-3,5,4,13,1,10,2,-34
1,6,0,0,1,1,True,True,True,True,4,4,6,11,14,8,11,10,5,10,15,14,0,1,9,-34,South,3,-2,5,5,13,2,10,4,-35
1,5,0,1,1,1,True,True,True,True,4,5,6,10,14,8,11,10,3,10,16,14,0,1,10,-35,Stop,3,0,5,5,13,3,10,5,-36
1,5,0,1,1,1,True,True,True,True,3,5,6,9,13,8,11,9,2,9,15,15,0,1,10,-36,South,2,0,5,4,12,3,10,4,-37
1,4,0,1,1,1,True,True,True,True,4,5,6,9,14,8,11,10,4,10,17,15,0,1,11,-37,Stop,3,1,5,5,13,4,10,6,-38
1,4,0,1,1,1,True,True,True,True,5,5,6,10,14,8,11,9,5,11,17,14,0,1,11,-38,South,4,1,5,6,13,4,10,5,-39
1,3,0,1,1,0,True,True,True,True,5,4,6,10,14,8,10,9,5,12,18,14,0,0,12,-39,East,4,1,5,7,13,5,9,6,-40
2,3,1,1,1,0,True,True,True,True,4,4,6,9,13,8,9,9,3,10,16,14,0,1,11,-40,Stop,2,1,4,6,11,5,7,6,-41
2,3,1,1,1,0,True,True,True,True,4,5,6,8,13,7,10,9,4,9,15,14,0,1,11,-41,West,2,2,4,5,11,4,8,6,-42
1,3,0,1,1,0,True,True,True,True,4,4,6,7,13,8,10,9,4,9,17,14,0,1,12,-42,East,3,1,5,4,12,5,9,6,-43
2,3,1,1,1,0,True,True,True,True,4,5,6,7,13,7,10,8,4,8,15,12,0,1,11,-43,East,2,2,4,4,11,4,8,5,-44
3,3,1,1,1,0,True,True,True,True,4,5,7,7,13,8,9,8,3,8,15,12,0,1,10,-44,North,1,2,4,4,10,5,6,5,-45
3,4,1,1,1,1,True,True,True,True,5,5,7,7,14,8,9,9,3,7,15,12,0,1,9,-45,West,2,1,4,3,11,4,6,5,-46
2,4,1,1,1,1,True,True,True,True,4,5,8,7,15,8,10,9,3,9,17,13,0,1,10,-46,South,2,1,6,3,13,4,8,5,-47
2,3,1,1,1,0,True,True,True,True,4,5,8,8,14,8,10,9,4,11,17,15,0,0,11,-47,Stop,2,2,6,5,12,5,8,6,-48
2,3,1,1,1,0,True,True,True,True,5,5,9,8,14,8,11,9,5,12,17,14,0,1,11,-48,East,3,2,7,5,12,5,9,6,-49
3,3,1,1,1,0,True,True,True,True,5,5,8,8,13,8,10,9,4,10,15,14,0,1,10,-49,North,2,2,5,5,10,5,7,6,-50
3,4,1,1,1,1,True,True,True,True,4,5,8,7,12,8,11,9,2,8,13,14,0,1,9,-50,North,1,1,5,3,9,4,8,5,149
3,5,1,1,0,1,False,True,True,True,1,1,8,7,13,8,11,10,0,7,13,12,0,1,8,149,West,-2,-4,5,2,10,3,8,5,148
2,5,1,1,0,1,False,True,True,True,1,1,8,7,13,7,11,9,0,8,13,14,0,1,9,148,West,-1,-4,6,2,11,2,9,4,147
1,5,0,1,1,1,False,True,True,True,1,1,8,6,12,7,11,10,0,8,13,15,0,1,10,147,South,0,-4,7,1,11,2,10,5,146
1,4,0,1,1,1,False,True,True,True,1,1,8,6,13,7,11,10,0,9,15,17,0,1,11,146,Stop,0,-3,7,2,12,3,10,6,145
1,4,0,1,1,1,False,True,True,True,1,1,8,5,12,7,11,11,0,8,14,16,0,0,11,145,East,0,-3,7,1,11,3,10,7,144
2,4,1,1,1,1,False,True,True,True,1,1,7,5,13,7,11,10,0,6,14,16,0,0,10,144,East,-1,-3,5,1,11,3,9,6,143
3,4,1,1,1,1,False,True,True,True,1,1,6,5,13,8,11,11,0,4,14,14,0,0,9,143,East,-2,-3,3,1,10,4,8,7,142
4,4,1,1,1,1,False,True,True,True,1,1,6,4,13,7,10,11,0,2,12,12,0,0,8,142,East,-3,-3,2,0,9,3,6,7,141
5,4,1,1,1,1,False,True,True,True,1,1,6,3,14,7,9,11,0,2,12,12,0,0,7,141,East,-4,-3,1,-1,9,3,4,7,140
6,4,1,1,1,1,False,True,True,True,1,1,5,3,14,6,10,11,0,2,10,12,0,0,6,140,West,-5,-3,-1,-1,8,2,4,7,139
5,4,1,1,1,1,False,True,True,True,1,1,4,3,14,5,11,11,0,2,10,12,0,0,7,139,West,-4,-3,-1,-1,9,1,6,7,138
4,4,1,1,1,1,False,True,True,True,1,1,4,3,14,4,11,10,0,1,10,12,0,0,8,138,South,-3,-3,0,-1,10,0,7,6,337
4,3,1,1,1,0,False,False,True,True,1,1,3,1,13,4,11,9,0,0,10,12,0,1,9,337,East,-3,-2,-1,-2,9,1,7,6,336
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,10,9,0,0,10,12,0,1,8,336,North,-4,-2,-2,-2,9,1,5,6,335
5,4,1,1,1,1,False,False,True,True,1,1,3,1,14,3,10,10,0,0,10,10,0,1,7,335,South,-4,-3,-2,-3,9,-1,5,6,334
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,10,9,0,0,9,12,0,1,8,334,Stop,-4,-2,-2,-2,9,0,5,6,333
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,10,10,0,0,10,11,0,1,8,333,East,-4,-2,-2,-2,9,1,5,7,332
6,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,10,9,0,0,10,11,0,1,7,332,North,-5,-2,-3,-2,9,1,4,6,331
6,4,1,1,1,1,False,False,True,True,1,1,3,1,15,3,10,10,0,0,10,10,0,1,6,331,South,-5,-3,-3,-3,9,-1,4,6,330
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,10,10,0,0,8,12,0,0,7,330,Stop,-5,-2,-3,-2,8,0,4,7,329
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,10,11,0,0,8,13,0,1,7,329,Stop,-5,-2,-3,-2,8,0,4,8,328
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,11,11,0,0,8,12,0,1,7,328,West,-5,-2,-3,-2,8,0,5,8,327
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,11,10,0,0,10,14,0,1,8,327,West,-4,-2,-2,-2,9,1,6,7,326
4,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,11,11,0,0,10,14,0,1,9,326,Stop,-3,-2,-1,-2,10,0,7,8,325
4,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,11,10,0,0,10,13,0,1,9,325,West,-3,-2,-1,-2,10,0,7,7,324
3,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,11,9,0,0,12,13,0,1,10,324,West,-2,-2,0,-2,11,1,8,6,323
2,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,10,9,0,0,14,15,0,1,11,323,Stop,-1,-2,1,-2,13,1,8,6,322
2,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,11,9,0,0,13,16,0,0,11,322,Stop,-1,-2,1,-2,12,1,9,6,321
2,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,12,9,0,0,14,17,0,1,11,321,Stop,-1,-2,1,-2,13,1,10,6,320
2,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,13,9,0,0,14,16,0,1,11,320,North,-1,-2,1,-2,13,1,11,6,319
2,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,9,0,0,14,14,0,1,10,319,East,-1,-3,1,-3,14,0,10,5,318
3,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,14,14,0,1,9,318,West,-2,-3,0,-3,14,0,9,4,317
2,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,9,0,0,14,16,0,1,10,317,North,-1,-3,1,-3,14,0,10,5,316
2,5,1,1,0,1,False,False,True,True,1,1,3,1,17,4,13,9,0,0,16,15,0,1,9,316,West,-1,-4,1,-4,15,-1,11,4,315
1,5,0,1,1,1,False,False,True,True,1,1,3,1,17,4,13,9,0,0,17,15,0,1,10,315,Stop,0,-4,2,-4,16,-1,12,4,314
1,5,0,1,1,1,False,False,True,True,1,1,3,1,16,4,13,8,0,0,16,14,0,0,10,314,East,0,-4,2,-4,15,-1,12,3,313
2,5,1,1,0,1,False,False,True,True,1,1,3,1,16,5,12,8,0,0,14,13,0,1,9,313,Stop,-1,-4,1,-4,14,0,10,3,312
2,5,1,1,0,1,False,False,True,True,1,1,3,1,17,5,12,8,0,0,15,14,0,1,9,312,West,-1,-4,1,-4,15,0,10,3,311
1,5,0,1,1,1,False,False,True,True,1,1,3,1,18,5,13,8,0,0,17,14,0,1,10,311,East,0,-4,2,-4,17,0,12,3,310
2,5,1,1,0,1,False,False,True,True,1,1,3,1,18,4,12,8,0,0,17,14,0,1,9,310,West,-1,-4,1,-4,16,-1,10,3,309
1,5,0,1,1,1,False,False,True,True,1,1,3,1,18,5,12,9,0,0,17,15,0,1,10,309,South,0,-4,2,-4,17,0,11,4,308
1,4,0,1,1,1,False,False,True,True,1,1,3,1,17,5,12,9,0,0,17,15,0,1,11,308,Stop,0,-3,2,-3,16,1,11,5,307
1,4,0,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,16,16,0,1,11,307,Stop,0,-3,2,-3,16,0,11,4,306
1,4,0,1,1,1,False,False,True,True,1,1,3,1,17,3,12,9,0,0,17,15,0,0,11,306,East,0,-3,2,-3,16,-1,11,5,305
2,4,1,1,1,1,False,False,True,True,1,1,3,1,18,3,11,9,0,0,17,15,0,0,10,305,East,-1,-3,1,-3,16,-1,9,5,304
3,4,1,1,1,1,False,False,True,True,1,1,3,1,17,3,12,9,0,0,15,14,0,0,9,304,East,-2,-3,0,-3,14,-1,9,5,303
4,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,9,0,0,13,12,0,0,8,303,East,-3,-3,-1,-3,13,0,8,5,302
5,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,12,11,0,0,7,302,East,-4,-3,-2,-3,12,0,7,4,301
6,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,11,10,0,0,6,301,East,-5,-3,-3,-3,11,0,6,4,300
7,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,8,0,0,9,10,0,0,5,300,East,-6,-3,-4,-3,9,0,5,4,299
8,4,1,1,1,1,False,False,True,True,1,1,3,1,16,5,13,8,0,0,9,10,0,0,4,299,East,-7,-3,-5,-3,8,1,5,4,298
9,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,14,8,0,0,7,10,0,0,3,298,East,-8,-3,-6,-3,6,1,5,4,297
10,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,15,8,0,0,6,9,0,0,2,297,East,-9,-3,-7,-3,5,1,5,4,296
11,4,1,0,1,1,False,False,True,True,1,1,3,1,16,5,15,8,0,0,6,9,0,1,3,296,West,-10,-3,-8,-3,5,1,4,4,295
10,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,16,8,0,0,6,9,0,1,2,295,North,-9,-3,-7,-3,5,1,6,4,294
10,5,1,1,1,1,False,False,True,True,1,1,3,1,14,5,15,8,0,0,4,9,0,1,1,294,North,-9,-4,-7,-4,4,0,5,3,393
10,6,1,0,1,1,False,False,True,True,1,1,3,1,14,4,16,8,0,0,6,7,0,1,8,393,South,-9,-5,-7,-5,4,-2,6,2,392
10,5,1,1,1,1,False,False,True,True,1,1,3,1,15,4,15,8,0,0,6,7,0,1,9,392,East,-9,-4,-7,-4,5,-1,5,3,391
11,5,1,1,0,1,False,False,True,True,1,1,3,1,15,4,14,8,0,0,5,7,0,1,8,391,West,-10,-4,-8,-4,4,-1,3,3,390
10,5,1,1,1,1,False,False,True,True,1,1,3,1,14,4,14,9,0,0,5,7,0,1,9,390,West,-9,-4,-7,-4,4,-1,4,4,389
9,5,1,1,1,1,False,False,True,True,1,1,3,1,15,4,13,9,0,0,7,8,0,0,10,389,South,-8,-4,-6,-4,6,-1,4,4,388
9,4,1,1,1,1,False,False,True,True,1,1,3,1,15,4,13,9,0,0,6,10,0,0,11,388,East,-8,-3,-6,-3,6,0,4,5,387
10,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,14,9,0,0,6,9,0,0,10,387,East,-9,-3,-7,-3,5,1,4,5,386
11,4,1,0,1,1,False,False,True,True,1,1,3,1,16,5,14,9,0,0,6,7,0,1,9,386,North,-10,-3,-8,-3,5,1,3,5,385
11,5,1,1,0,1,False,False,True,True,1,1,3,1,15,5,14,8,0,0,4,7,0,1,8,385,South,-10,-4,-8,-4,4,0,3,3,384
11,4,1,0,1,1,False,False,True,True,1,1,3,1,15,4,15,8,0,0,4,7,0,1,9,384,South,-10,-3,-8,-3,4,0,4,4,383
11,3,1,0,1,0,False,False,True,True,1,1,3,1,14,4,14,8,0,0,4,7,0,1,10,383,West,-10,-2,-8,-2,3,1,3,5,382
10,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,13,8,0,0,4,7,0,1,11,382,North,-9,-2,-7,-2,4,0,3,5,381
10,4,1,1,1,1,False,False,True,True,1,1,3,1,14,3,13,7,0,0,5,7,0,1,10,381,West,-9,-3,-7,-3,4,-1,3,3,380
9,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,14,7,0,0,5,8,0,1,11,380,West,-8,-3,-6,-3,4,-1,5,3,379
8,4,1,1,1,1,False,False,True,True,1,1,3,1,13,4,14,7,0,0,5,9,0,0,12,379,South,-7,-3,-5,-3,5,0,6,3,378
8,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,14,7,0,0,7,9,0,1,13,378,West,-7,-2,-5,-2,6,1,6,4,377
7,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,13,7,0,0,7,11,0,1,14,377,Stop,-6,-2,-4,-2,7,0,6,4,376
7,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,13,8,0,0,7,11,0,1,14,376,North,-6,-2,-4,-2,7,0,6,5,375
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,13,8,0,0,7,11,0,1,13,375,North,-6,-3,-4,-3,6,-1,6,4,374
7,5,1,1,0,1,False,False,True,True,1,1,3,1,14,3,14,8,0,0,9,11,0,1,12,374,West,-6,-4,-4,-4,7,-2,7,3,373
6,5,1,1,0,1,False,False,True,True,1,1,3,1,13,3,14,9,0,0,9,12,0,1,13,373,Stop,-5,-4,-3,-4,7,-2,8,4,372
6,5,1,1,0,1,False,False,True,True,1,1,3,1,13,4,14,9,0,0,8,12,0,1,13,372,Stop,-5,-4,-3,-4,7,-1,8,4,371
6,5,1,1,0,1,False,False,True,True,1,1,3,1,13,4,14,9,0,0,8,11,0,0,13,371,East,-5,-4,-3,-4,7,-1,8,4,370
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,3,14,8,0,0,8,10,0,1,12,370,South,-6,-4,-4,-4,6,-2,7,3,369
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,14,8,0,0,7,12,0,1,13,369,North,-6,-3,-4,-3,6,-1,7,4,368
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,4,14,9,0,0,7,11,0,1,12,368,South,-6,-4,-4,-4,6,-1,7,4,367
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,5,14,9,0,0,7,13,0,1,13,367,South,-6,-3,-4,-3,6,1,7,5,366
7,3,1,1,1,0,False,False,True,True,1,1,3,1,13,5,14,10,0,0,8,13,0,1,14,366,East,-6,-2,-4,-2,6,2,7,7,365
8,3,1,1,1,0,False,False,True,True,1,1,3,1,13,4,14,9,0,0,6,11,0,1,13,365,Stop,-7,-2,-5,-2,5,1,6,6,364
8,3,1,1,1,0,False,False,True,True,1,1,3,1,13,5,14,8,0,0,7,10,0,1,13,364,West,-7,-2,-5,-2,5,2,6,5,363
7,3,1,1,1,0,False,False,True,True,1,1,3,1,14,5,13,8,0,0,9,10,0,0,14,363,West,-6,-2,-4,-2,7,2,6,5,362
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,5,12,8,0,0,10,11,0,1,15,362,West,-5,-2,-3,-2,8,2,6,5,361
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,12,8,0,0,10,13,0,1,16,361,North,-4,-2,-2,-2,9,1,7,5,360
5,4,1,1,1,1,False,False,True,True,1,1,3,1,14,5,13,8,0,0,10,11,0,1,15,360,North,-4,-3,-2,-3,9,1,8,4,359
5,5,1,1,0,1,False,False,True,True,1,1,3,1,14,6,12,8,0,0,10,11,0,1,14,359,East,-4,-4,-2,-4,9,1,7,3,358
6,5,1,1,0,1,False,False,True,True,1,1,3,1,14,7,13,8,0,0,10,11,0,1,13,358,West,-5,-4,-3,-4,8,2,7,3,357
5,5,1,1,0,1,False,False,True,True,1,1,3,1,15,7,14,8,0,0,12,11,0,1,14,357,East,-4,-4,-2,-4,10,2,9,3,356
6,5,1,1,0,1,False,False,True,True,1,1,3,1,14,7,13,8,0,0,10,11,0,1,13,356,West,-5,-4,-3,-4,8,2,7,3,355
5,5,1,1,0,1,False,False,True,True,1,1,3,1,13,7,14,8,0,0,10,13,0,0,14,355,West,-4,-4,-2,-4,8,2,9,3,354
4,5,1,1,0,1,False,False,True,True,1,1,3,1,13,8,14,9,0,0,12,14,0,1,15,354,East,-3,-4,-1,-4,9,3,10,4,353
5,5,1,1,0,1,False,False,True,True,1,1,3,1,14,8,14,9,0,0,12,13,0,1,14,353,East,-4,-4,-2,-4,9,3,9,4,352
6,5,1,1,0,1,False,False,True,True,1,1,3,1,13,8,14,9,0,0,10,11,0,1,13,352,East,-5,-4,-3,-4,7,3,8,4,351
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,9,14,8,0,0,10,11,0,1,12,351,South,-6,-4,-4,-4,6,4,7,3,350
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,8,15,8,0,0,10,13,0,1,13,350,West,-6,-3,-4,-3,6,4,8,4,349
6,4,1,1,1,1,False,False,True,True,1,1,3,1,12,8,15,9,0,0,10,15,0,1,14,349,South,-5,-3,-3,-3,6,4,9,5,348
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,9,16,9,0,0,12,17,0,1,15,348,East,-5,-2,-3,-2,6,6,10,6,347
7,3,1,1,1,0,False,False,True,True,1,1,3,1,12,9,17,9,0,0,11,17,0,0,14,347,Stop,-6,-2,-4,-2,5,6,10,6,346
7,3,1,1,1,0,False,False,True,True,1,1,3,1,12,8,18,9,0,0,10,16,0,1,14,346,West,-6,-2,-4,-2,5,5,11,6,345
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,7,17,9,0,0,10,16,0,1,15,345,West,-5,-2,-3,-2,6,4,11,6,344
5,3,1,1,1,0,False,False,True,True,1,1,3,1,12,7,17,8,0,0,11,16,0,1,16,344,East,-4,-2,-2,-2,7,4,12,5,343
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,8,16,8,0,0,11,16,0,1,15,343,West,-5,-2,-3,-2,6,5,10,5,342
5,3,1,1,1,0,False,False,True,True,1,1,3,1,12,9,16,9,0,0,13,16,0,1,16,342,East,-4,-2,-2,-2,7,6,11,6,341
